city1,city2,pointValue
LosAngeles,NewYork,21
Duluth,Houston,8
SaultStMarie,Nashville,8
NewYork,Atlanta,6
Portland,Nashville,17
Vancouver,Montreal,20
Duluth,ElPaso,10
Toronto,Miami,10
Portland,Phoenix,11
Dallas,NewYork,11
Calgary,SaltLakeCity,7
Calgary,Phoenix,13
LosAngeles,Miami,20
Winnipeg,LittleRock,11
SanFrancisco,Atlanta,17
KansasCity,Houston,5
LosAngeles,Chicago,16
Denver,Pittsburgh,11
Chicago,SantaFe,9
Vancouver,SantaFe,13
Boston,Miami,12
Chicago,NewOrleans,7
Montreal,Atlanta,9
Seattle,NewYork,22
Denver,ElPaso,4
Helena,LosAngeles,8
Winnipeg,Houston,12
Montreal,NewOrleans,13
SaultStMarie,OklahomaCity,9
Seattle,LosAngeles,9
